T,tmin
1981-01-01 12:00:00,3.2823517
1981-01-02 12:00:00,5.3295307
1981-01-03 12:00:00,7.711062
1981-01-04 12:00:00,6.97239
1981-01-05 12:00:00,4.6709676
1981-01-06 12:00:00,4.9641438
1981-01-07 12:00:00,8.463198
1981-01-08 12:00:00,7.459561
1981-01-09 12:00:00,6.905075
1981-01-10 12:00:00,7.5383043
1981-01-11 12:00:00,5.1885076
1981-01-12 12:00:00,8.038686
1981-01-13 12:00:00,7.9550347
1981-01-14 12:00:00,7.0329843
1981-01-15 12:00:00,7.7947073
1981-01-16 12:00:00,5.5908074
1981-01-17 12:00:00,7.7657175
1981-01-18 12:00:00,7.574604
1981-01-19 12:00:00,7.614515
1981-01-20 12:00:00,7.8956857
1981-01-21 12:00:00,7.8255944
1981-01-22 12:00:00,5.5219026
1981-01-23 12:00:00,5.045653
1981-01-24 12:00:00,6.696009
1981-01-25 12:00:00,5.88098
1981-01-26 12:00:00,5.139345
1981-01-27 12:00:00,7.8736205
1981-01-28 12:00:00,7.0738153
1981-01-29 12:00:00,7.468109
1981-01-30 12:00:00,6.085472
1981-01-31 12:00:00,8.99845
1981-02-01 12:00:00,6.8528533
1981-02-02 12:00:00,6.911693
1981-02-03 12:00:00,7.85479
1981-02-04 12:00:00,8.554216
1981-02-05 12:00:00,7.651608
1981-02-06 12:00:00,7.994687
1981-02-07 12:00:00,8.471698
1981-02-08 12:00:00,8.276673
1981-02-09 12:00:00,8.190872
1981-02-10 12:00:00,8.21012
1981-02-11 12:00:00,6.9841714
1981-02-12 12:00:00,7.509672
1981-02-13 12:00:00,8.196685
1981-02-14 12:00:00,8.129378
1981-02-15 12:00:00,8.293074
1981-02-16 12:00:00,6.545337
1981-02-17 12:00:00,7.9806056
1981-02-18 12:00:00,8.118411
1981-02-19 12:00:00,8.086933
1981-02-20 12:00:00,7.8826137
1981-02-21 12:00:00,7.7557435
1981-02-22 12:00:00,8.846963
1981-02-23 12:00:00,7.061911
1981-02-24 12:00:00,8.911276
1981-02-25 12:00:00,8.3593
1981-02-26 12:00:00,9.007634
1981-02-27 12:00:00,8.736841
1981-02-28 12:00:00,8.134371
1981-03-01 12:00:00,8.298309
1981-03-02 12:00:00,8.648169
1981-03-03 12:00:00,8.451638
1981-03-04 12:00:00,8.717929
1981-03-05 12:00:00,7.7589364
1981-03-06 12:00:00,9.201234
1981-03-07 12:00:00,9.06638
1981-03-08 12:00:00,8.741314
1981-03-09 12:00:00,8.761253
1981-03-10 12:00:00,9.124079
1981-03-11 12:00:00,8.556353
1981-03-12 12:00:00,8.554288
1981-03-13 12:00:00,8.962186
1981-03-14 12:00:00,8.860306
1981-03-15 12:00:00,7.5595427
1981-03-16 12:00:00,8.877008
1981-03-17 12:00:00,8.931493
1981-03-18 12:00:00,8.681916
1981-03-19 12:00:00,6.9671335
1981-03-20 12:00:00,5.6294594
1981-03-21 12:00:00,6.8854375
1981-03-22 12:00:00,5.856819
1981-03-23 12:00:00,6.246748
1981-03-24 12:00:00,5.3376083
1981-03-25 12:00:00,5.044046
1981-03-26 12:00:00,6.6193404
1981-03-27 12:00:00,5.9161673
1981-03-28 12:00:00,3.3375287
1981-03-29 12:00:00,5.714756
1981-03-30 12:00:00,4.5932217
1981-03-31 12:00:00,7.024024
1981-04-01 12:00:00,7.140811
1981-04-02 12:00:00,7.294955
1981-04-03 12:00:00,5.869295
1981-04-04 12:00:00,7.43214
1981-04-05 12:00:00,5.9386654
1981-04-06 12:00:00,7.082932
1981-04-07 12:00:00,7.750475
1981-04-08 12:00:00,7.9182997
1981-04-09 12:00:00,7.1181874
1981-04-10 12:00:00,8.3425255
1981-04-11 12:00:00,8.206375
1981-04-12 12:00:00,8.421027
1981-04-13 12:00:00,8.008897
1981-04-14 12:00:00,7.991202
1981-04-15 12:00:00,6.8618507
1981-04-16 12:00:00,8.155492
1981-04-17 12:00:00,7.5259385
1981-04-18 12:00:00,7.8244686
1981-04-19 12:00:00,6.491114
1981-04-20 12:00:00,7.5468693
1981-04-21 12:00:00,7.4479785
1981-04-22 12:00:00,6.823558
1981-04-23 12:00:00,5.8946705
1981-04-24 12:00:00,7.657777
1981-04-25 12:00:00,8.6713
1981-04-26 12:00:00,7.15765
1981-04-27 12:00:00,6.858917
1981-04-28 12:00:00,5.7220817
1981-04-29 12:00:00,6.259285
1981-04-30 12:00:00,5.9855995
1981-05-01 12:00:00,4.888764
1981-05-02 12:00:00,4.1069803
1981-05-03 12:00:00,2.9461884
1981-05-04 12:00:00,4.1020904
1981-05-05 12:00:00,3.3403122
1981-05-06 12:00:00,4.1157937
1981-05-07 12:00:00,6.731772
1981-05-08 12:00:00,5.496245
1981-05-09 12:00:00,4.7401505
1981-05-10 12:00:00,6.1230965
1981-05-11 12:00:00,7.4617443
1981-05-12 12:00:00,6.9533305
1981-05-13 12:00:00,6.949459
1981-05-14 12:00:00,5.428055
1981-05-15 12:00:00,5.252029
1981-05-16 12:00:00,5.700672
1981-05-17 12:00:00,5.983055
1981-05-18 12:00:00,6.603547
1981-05-19 12:00:00,5.0838947
1981-05-20 12:00:00,7.034238
1981-05-21 12:00:00,7.0412784
1981-05-22 12:00:00,6.458758
1981-05-23 12:00:00,5.113369
1981-05-24 12:00:00,5.2052183
1981-05-25 12:00:00,5.721213
1981-05-26 12:00:00,6.0929475
1981-05-27 12:00:00,5.1994176
1981-05-28 12:00:00,5.553066
1981-05-29 12:00:00,6.294937
1981-05-30 12:00:00,6.023334
1981-05-31 12:00:00,4.72134
1981-06-01 12:00:00,4.792818
1981-06-02 12:00:00,1.109051
1981-06-03 12:00:00,1.4761312
1981-06-04 12:00:00,4.5292473
1981-06-05 12:00:00,6.620183
1981-06-06 12:00:00,6.7618165
1981-06-07 12:00:00,7.2915196
1981-06-08 12:00:00,7.2392144
1981-06-09 12:00:00,7.349008
1981-06-10 12:00:00,5.607164
1981-06-11 12:00:00,5.5777307
1981-06-12 12:00:00,6.348547
1981-06-13 12:00:00,7.082153
1981-06-14 12:00:00,6.6880517
1981-06-15 12:00:00,7.1132426
1981-06-16 12:00:00,5.2470894
1981-06-17 12:00:00,6.894187
1981-06-18 12:00:00,7.147663
1981-06-19 12:00:00,5.9439635
1981-06-20 12:00:00,6.2245564
1981-06-21 12:00:00,4.3964005
1981-06-22 12:00:00,2.8513515
1981-06-23 12:00:00,4.647135
1981-06-24 12:00:00,5.322231
1981-06-25 12:00:00,5.497953
1981-06-26 12:00:00,6.5539026
1981-06-27 12:00:00,5.4563794
1981-06-28 12:00:00,5.661609
1981-06-29 12:00:00,4.441549
1981-06-30 12:00:00,1.9823273
1981-07-01 12:00:00,1.8106534
1981-07-02 12:00:00,3.1958199
1981-07-03 12:00:00,5.7431545
1981-07-04 12:00:00,5.343502
1981-07-05 12:00:00,5.8675385
1981-07-06 12:00:00,4.548003
1981-07-07 12:00:00,4.1292124
1981-07-08 12:00:00,5.0144076
1981-07-09 12:00:00,4.323339
1981-07-10 12:00:00,4.162987
1981-07-11 12:00:00,3.6576025
1981-07-12 12:00:00,4.901578
1981-07-13 12:00:00,6.8133774
1981-07-14 12:00:00,4.1138763
1981-07-15 12:00:00,3.4844086
1981-07-16 12:00:00,1.9114231
1981-07-17 12:00:00,3.2731886
1981-07-18 12:00:00,5.7491364
1981-07-19 12:00:00,6.492064
1981-07-20 12:00:00,4.4663424
1981-07-21 12:00:00,2.5384798
1981-07-22 12:00:00,1.0729837
1981-07-23 12:00:00,3.8393095
1981-07-24 12:00:00,4.8077908
1981-07-25 12:00:00,4.790339
1981-07-26 12:00:00,2.904539
1981-07-27 12:00:00,2.6254084
1981-07-28 12:00:00,2.2604065
1981-07-29 12:00:00,1.554165
1981-07-30 12:00:00,3.3493965
1981-07-31 12:00:00,3.9405472
1981-08-01 12:00:00,3.757543
1981-08-02 12:00:00,4.177136
1981-08-03 12:00:00,2.9471884
1981-08-04 12:00:00,4.0009427
1981-08-05 12:00:00,4.9160953
1981-08-06 12:00:00,4.8550277
1981-08-07 12:00:00,2.4907467
